"disease","year","age","country","country_name","run_number","cohort_size","deaths","cases","deaths_mening","deaths_pneumo","cases_mening","cases_pneumo"
"Hib",2022,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2023,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2024,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2025,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2026,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2027,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2028,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2029,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2030,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2031,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2032,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2033,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2034,0,"ETH","Ethiopia","","","","","","","",""
"Hib",2000,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2001,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2002,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2003,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2004,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2005,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2006,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2007,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2008,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2009,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2010,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2011,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2012,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2013,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2014,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2015,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2016,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2017,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2018,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2019,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2020,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2021,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2022,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2023,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2024,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2025,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2026,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2027,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2028,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2029,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2030,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2031,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2032,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2033,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2034,1,"ETH","Ethiopia","","","","","","","",""
"Hib",2000,2,"ETH","Ethiopia","","","","","","","",""
"Hib",2001,2,"ETH","Ethiopia","","","","","","","",""
"Hib",2002,2,"ETH","Ethiopia","","","","","","","",""
"Hib",2003,2,"ETH","Ethiopia","","","","","","","",""
"Hib",2004,2,"ETH","Ethiopia","","","","","","","",""
"Hib",2005,2,"ETH","Ethiopia","","","","","","","",""
"Hib",2006,2,"ETH","Ethiopia","","","","","","","",""
"Hib",2007,2,"ETH","Ethiopia","","","","","","","",""
"Hib",2008,2,"ETH","Ethiopia","","","","","","","",""
"Hib",2009,2,"ETH","Ethiopia","","","","","","","",""
"Hib",2010,2,"ETH","Ethiopia","","","","","","","",""
"Hib",2011,2,"ETH","Ethiopia","","","","","","","",""
"Hib",2012,2,"ETH","Ethiopia","","","","","","","",""
"Hib",2013,2,"ETH","Ethiopia","","","","","","","",""
"Hib",2014,2,"ETH","Ethiopia","","","","","","","",""
"Hib",2015,2,"ETH","Ethiopia","","","","","","","",""
"Hib",2016,2,"ETH","Ethiopia","","","","","","","",""
"Hib",2017,2,"ETH","Ethiopia","","","","","","","",""
"Hib",2018,2,"ETH","Ethiopia","","","","","","","",""
"Hib",2019,2,"ETH","Ethiopia","","","","","","","",""
"Hib",2020,2,"ETH","Ethiopia","","","","","","","",""
"Hib",2021,2,"ETH","Ethiopia","","","","","","","",""
"Hib",2022,2,"ETH","Ethiopia","","","","","","","",""
"Hib",2023,2,"ETH","Ethiopia","","","","","","","",""
"Hib",2024,2,"ETH","Ethiopia","","","","","","","",""
"Hib",2025,2,"ETH","Ethiopia","","","","","","","",""
"Hib",2026,2,"ETH","Ethiopia","","","","","","","",""
"Hib",2027,2,"ETH","Ethiopia","","","","","","","",""
"Hib",2028,2,"ETH","Ethiopia","","","","","","","",""
"Hib",2029,2,"ETH","Ethiopia","","","","","","","",""
"Hib",2030,2,"ETH","Ethiopia","","","","","","","",""
"Hib",2031,2,"ETH","Ethiopia","","","","","","","",""
"Hib",2032,2,"ETH","Ethiopia","","","","","","","",""
"Hib",2033,2,"ETH","Ethiopia","","","","","","","",""
"Hib",2034,2,"ETH","Ethiopia","","","","","","","",""
"Hib",2000,3,"ETH","Ethiopia","","","","","","","",""
"Hib",2001,3,"ETH","Ethiopia","","","","","","","",""
"Hib",2002,3,"ETH","Ethiopia","","","","","","","",""
"Hib",2003,3,"ETH","Ethiopia","","","","","","","",""
"Hib",2004,3,"ETH","Ethiopia","","","","","","","",""
"Hib",2005,3,"ETH","Ethiopia","","","","","","","",""
"Hib",2006,3,"ETH","Ethiopia","","","","","","","",""
"Hib",2007,3,"ETH","Ethiopia","","","","","","","",""
"Hib",2008,3,"ETH","Ethiopia","","","","","","","",""
"Hib",2009,3,"ETH","Ethiopia","","","","","","","",""
"Hib",2010,3,"ETH","Ethiopia","","","","","","","",""
"Hib",2011,3,"ETH","Ethiopia","","","","","","","",""
"Hib",2012,3,"ETH","Ethiopia","","","","","","","",""
"Hib",2013,3,"ETH","Ethiopia","","","","","","","",""
"Hib",2014,3,"ETH","Ethiopia","","","","","","","",""
"Hib",2015,3,"ETH","Ethiopia","","","","","","","",""
"Hib",2016,3,"ETH","Ethiopia","","","","","","","",""
"Hib",2017,3,"ETH","Ethiopia","","","","","","","",""
"Hib",2018,3,"ETH","Ethiopia","","","","","","","",""
"Hib",2019,3,"ETH","Ethiopia","","","","","","","",""
"Hib",2020,3,"ETH","Ethiopia","","","","","","","",""
"Hib",2021,3,"ETH","Ethiopia","","","","","","","",""
"Hib",2022,3,"ETH","Ethiopia","","","","","","","",""
"Hib",2023,3,"ETH","Ethiopia","","","","","","","",""
"Hib",2024,3,"ETH","Ethiopia","","","","","","","",""
"Hib",2025,3,"ETH","Ethiopia","","","","","","","",""
"Hib",2026,3,"ETH","Ethiopia","","","","","","","",""
"Hib",2027,3,"ETH","Ethiopia","","","","","","","",""
