"disease","run_id","year","age","country","country_name","cohort_size","deaths","cases","dalys"
"PCV",13,2014,0,"PAK","Pakistan","","","",""
"PCV",14,2014,0,"PAK","Pakistan","","","",""
"PCV",15,2014,0,"PAK","Pakistan","","","",""
"PCV",16,2014,0,"PAK","Pakistan","","","",""
"PCV",17,2014,0,"PAK","Pakistan","","","",""
"PCV",18,2014,0,"PAK","Pakistan","","","",""
"PCV",19,2014,0,"PAK","Pakistan","","","",""
"PCV",20,2014,0,"PAK","Pakistan","","","",""
"PCV",1,2015,0,"PAK","Pakistan","","","",""
"PCV",2,2015,0,"PAK","Pakistan","","","",""
"PCV",3,2015,0,"PAK","Pakistan","","","",""
"PCV",4,2015,0,"PAK","Pakistan","","","",""
"PCV",5,2015,0,"PAK","Pakistan","","","",""
"PCV",6,2015,0,"PAK","Pakistan","","","",""
"PCV",7,2015,0,"PAK","Pakistan","","","",""
"PCV",8,2015,0,"PAK","Pakistan","","","",""
"PCV",9,2015,0,"PAK","Pakistan","","","",""
"PCV",10,2015,0,"PAK","Pakistan","","","",""
"PCV",11,2015,0,"PAK","Pakistan","","","",""
"PCV",12,2015,0,"PAK","Pakistan","","","",""
"PCV",13,2015,0,"PAK","Pakistan","","","",""
"PCV",14,2015,0,"PAK","Pakistan","","","",""
"PCV",15,2015,0,"PAK","Pakistan","","","",""
"PCV",16,2015,0,"PAK","Pakistan","","","",""
"PCV",17,2015,0,"PAK","Pakistan","","","",""
"PCV",18,2015,0,"PAK","Pakistan","","","",""
"PCV",19,2015,0,"PAK","Pakistan","","","",""
"PCV",20,2015,0,"PAK","Pakistan","","","",""
"PCV",1,2016,0,"PAK","Pakistan","","","",""
"PCV",2,2016,0,"PAK","Pakistan","","","",""
"PCV",3,2016,0,"PAK","Pakistan","","","",""
"PCV",4,2016,0,"PAK","Pakistan","","","",""
"PCV",5,2016,0,"PAK","Pakistan","","","",""
"PCV",6,2016,0,"PAK","Pakistan","","","",""
"PCV",7,2016,0,"PAK","Pakistan","","","",""
"PCV",8,2016,0,"PAK","Pakistan","","","",""
"PCV",9,2016,0,"PAK","Pakistan","","","",""
"PCV",10,2016,0,"PAK","Pakistan","","","",""
"PCV",11,2016,0,"PAK","Pakistan","","","",""
"PCV",12,2016,0,"PAK","Pakistan","","","",""
"PCV",13,2016,0,"PAK","Pakistan","","","",""
"PCV",14,2016,0,"PAK","Pakistan","","","",""
"PCV",15,2016,0,"PAK","Pakistan","","","",""
"PCV",16,2016,0,"PAK","Pakistan","","","",""
"PCV",17,2016,0,"PAK","Pakistan","","","",""
"PCV",18,2016,0,"PAK","Pakistan","","","",""
"PCV",19,2016,0,"PAK","Pakistan","","","",""
"PCV",20,2016,0,"PAK","Pakistan","","","",""
"PCV",1,2017,0,"PAK","Pakistan","","","",""
"PCV",2,2017,0,"PAK","Pakistan","","","",""
"PCV",3,2017,0,"PAK","Pakistan","","","",""
"PCV",4,2017,0,"PAK","Pakistan","","","",""
"PCV",5,2017,0,"PAK","Pakistan","","","",""
"PCV",6,2017,0,"PAK","Pakistan","","","",""
"PCV",7,2017,0,"PAK","Pakistan","","","",""
"PCV",8,2017,0,"PAK","Pakistan","","","",""
"PCV",9,2017,0,"PAK","Pakistan","","","",""
"PCV",10,2017,0,"PAK","Pakistan","","","",""
"PCV",11,2017,0,"PAK","Pakistan","","","",""
"PCV",12,2017,0,"PAK","Pakistan","","","",""
"PCV",13,2017,0,"PAK","Pakistan","","","",""
"PCV",14,2017,0,"PAK","Pakistan","","","",""
"PCV",15,2017,0,"PAK","Pakistan","","","",""
"PCV",16,2017,0,"PAK","Pakistan","","","",""
"PCV",17,2017,0,"PAK","Pakistan","","","",""
"PCV",18,2017,0,"PAK","Pakistan","","","",""
"PCV",19,2017,0,"PAK","Pakistan","","","",""
"PCV",20,2017,0,"PAK","Pakistan","","","",""
"PCV",1,2018,0,"PAK","Pakistan","","","",""
"PCV",2,2018,0,"PAK","Pakistan","","","",""
"PCV",3,2018,0,"PAK","Pakistan","","","",""
"PCV",4,2018,0,"PAK","Pakistan","","","",""
"PCV",5,2018,0,"PAK","Pakistan","","","",""
"PCV",6,2018,0,"PAK","Pakistan","","","",""
"PCV",7,2018,0,"PAK","Pakistan","","","",""
"PCV",8,2018,0,"PAK","Pakistan","","","",""
"PCV",9,2018,0,"PAK","Pakistan","","","",""
"PCV",10,2018,0,"PAK","Pakistan","","","",""
"PCV",11,2018,0,"PAK","Pakistan","","","",""
"PCV",12,2018,0,"PAK","Pakistan","","","",""
"PCV",13,2018,0,"PAK","Pakistan","","","",""
"PCV",14,2018,0,"PAK","Pakistan","","","",""
"PCV",15,2018,0,"PAK","Pakistan","","","",""
"PCV",16,2018,0,"PAK","Pakistan","","","",""
"PCV",17,2018,0,"PAK","Pakistan","","","",""
